"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","muni.no","muni.name"
0.247993592059179,0.23338725636475,0.160481223791051,0.227843131095789,0.145325187290917,0.137896373545256,0.178888347913493,0.125897190243596,0.159067707433525,0.100689481867726,0.143770319297639,0.120478710873082,0.218498217398816,110001,"Alta Floresta d'Oeste"
0.389197515277006,0.396722387758194,0.296525428008686,0.79124791677188,0.530149992424625,0.504545224988637,0.570021716074946,0.332382202919045,0.706908741982728,0.485733043785667,0.57878389980304,0.42702388768244,0.600272713499318,110002,"Ariquemes"
0.331624936985381,0.279448832129054,0.187951604772307,0.365988909426987,0.371450176440934,0.325155436061166,0.366493026382121,0.224752142497059,0.370694001008234,0.295412535708284,0.318769954629474,0.281969416904722,0.413039825239456,110003,"Cabixi"
0.172405667324516,0.109399393207458,0.0669533712333206,0.14421632448673,0.146602256325665,0.158738107160741,0.104568617632331,0.0603846946890925,0.241715514448143,0.165365695602227,0.299007334531209,0.0983534124716487,0.27087690359068,110004,"Cacoal"
0.159203782430768,0.104851205848464,0.0648814017243434,0.156621240414796,0.231832810203028,0.276490921371528,0.270332551948826,0.166117048750447,0.210258651515754,0.145814295363344,0.18761174460646,0.174222257539036,0.233620723906393,110005,"Cerejeiras"
0.276238455079765,0.281505228608503,0.131593008167315,0.312037249064957,0.311884588962675,0.268147469658805,0.314708800854897,0.248148996259828,0.316082741775437,0.205862147927639,0.175253797420044,0.112968475688879,0.188382566216319,110006,"Colorado do Oeste"
0.369861527893272,0.308434867493402,0.180700676090965,0.395965146968437,0.392602769442135,0.444665389204237,0.47188980078817,0.32795834990419,0.660544488231679,0.451860154018583,0.555117683213421,0.414367836870458,0.474348313388047,110007,"Corumbiara"
0.135498212884666,0.150597158050737,0.150780228402057,0.187054310870892,0.225333449568477,0.226458024583733,0.332281405282887,0.292929997384709,0.383471362566472,0.267465783279575,0.263507976636736,0.246804986487664,0.293261267544242,110008,"Costa Marques"
0.268087934812043,0.264247556682504,0.202801506609882,0.401024100834544,0.270008123876813,0.218310725979173,0.302503631126757,0.195711577755348,0.506782206248,0.262770488171143,0.331454173949435,0.157307796459959,0.372368971714138,110009,"Espigão d'Oeste"
0.108912488960815,0.117994880507825,0.106890693014269,0.159044959183033,0.162927166033828,0.164240660961407,0.167912170673648,0.140153943398679,0.157865951790701,0.155485522416831,0.126794848230817,0.123221962711089,0.105442710551444,110010,"Guajará-Mirim"
0.292446029517775,0.25158401942558,0.126835375801495,0.412679743521645,0.162575406912775,0.190272033994764,0.120423416929089,0.0778540805099215,0.268998747960694,0.209849375877376,0.295633038661456,0.167166217703077,0.28683082293129,110011,"Jaru"
0.108526378838651,0.078189500267107,0.054603143768313,0.129846373010862,0.0876920337364221,0.13415246143137,0.0734625159859486,0.0589739853981513,0.101112136370259,0.0696420766354232,0.109449112071617,0.0761821507778479,0.136062681106632,110012,"Ji-Paraná"
0.212937579080557,0.204067376634331,0.186920075917335,0.278205398566006,0.370914171235765,0.34245835090679,0.613691480388022,0.495097005482919,0.586026465626318,0.390078026149304,0.438172184732181,0.461962252214256,0.533714677351328,110013,"Machadinho d'Oeste"
0.262726571538758,0.186559969147705,0.0776128037022754,0.245372155804088,0.0833976089471654,0.164866949479368,0.0689355958349402,0.0588121866563826,0.103644427304281,0.0761666023910528,0.116178172001543,0.0819514076359429,0.16631315079059,110014,"Nova Brasilândia d'Oeste"
0.183969206385147,0.112079701120797,0.0584739046756481,0.195007358768255,0.105626627419903,0.112249518849768,0.0894373372580097,0.0556436091927997,0.279350164157138,0.202932186120231,0.364089210913619,0.157647458394656,0.318974300917016,110015,"Ouro Preto do Oeste"
0.142442015937818,0.119480149038204,0.10067209812276,0.181234735171947,0.147522863815449,0.120942007024049,0.235769169058528,0.137735546324853,0.193250494714135,0.103988019895531,0.164120300215713,0.154689533453372,0.216978945679497,110018,"Pimenta Bueno"
0.284088591857811,0.30076041125356,0.289170059793584,0.359001598442341,0.377321194819205,0.402550929793518,0.557524190418555,0.578655861284148,0.613824881761312,0.614818152516395,0.614558323411589,0.677808621063918,0.616410016905337,110020,"Porto Velho"
0.177445997458704,0.0909783989834816,0.0475222363405337,0.149428208386277,0.112007623888183,0.174142312579416,0.067725540025413,0.0439008894536213,0.168805590851334,0.0894536213468869,0.192884371029225,0.0588310038119441,0.198475222363405,110025,"Presidente Médici"
0.397277068008775,0.368176538908246,0.299328945670409,0.603239127629371,0.480190992386114,0.384178603690799,0.446122080268422,0.226609885146471,0.578332688088786,0.451606658923732,0.609885146470512,0.467931345980126,0.644599303135889,110026,"Rio Crespo"
0.163382218148488,0.118087381607088,0.105484265200122,0.161014359914452,0.180644668499847,0.260922700886037,0.180109990834097,0.135197066911091,0.326611671249618,0.293996333638863,0.383134738771769,0.148564008554843,0.249159792239536,110028,"Rolim de Moura"
0.167591564927858,0.151313355530892,0.0924898261191269,0.275249722530522,0.106918238993711,0.101368849426563,0.0628930817610063,0.0536440991490936,0.146503884572697,0.13984461709212,0.150203477617462,0.0891601923788383,0.228264890862005,110029,"Santa Luzia d'Oeste"
0.18388132830509,0.180303044916619,0.160212575110194,0.1843925116463,0.183813813524175,0.180061920699067,0.231382799162817,0.199062509042158,0.192436415543832,0.17380233601142,0.197384284487997,0.22977208938957,0.252891079368447,110030,"Vilhena"
