"","muni","muni.no","year","month","case","cal.month","month.no","numCase"
"507","Santo ngelo",431750,2008,"Dez",0,12,96,0
"508"," Vale Verde",432252,2008,"Dez",0,12,96,0
"509","Vera Cruz",432270,2008,"Dez",0,12,96,0
"510","Feliz Natal",510370,2008,"Dez",0,12,96,0
"511","Afu",150030,2009,"Jan",0,1,97,0
"512","Iu",431020,2009,"Jan",1,1,97,1
"513","Corumb",500320,2009,"Jan",0,1,97,0
"514","Afu",150030,2009,"Fev",0,2,98,0
"515","Iu",431020,2009,"Fev",0,2,98,0
"516","Corumb",500320,2009,"Fev",1,2,98,1
"517","Afu",150030,2009,"Jun",1,6,102,1
"518","Iu",431020,2009,"Jun",0,6,102,0
"519","Corumb",500320,2009,"Jun",0,6,102,0
"520"," Anori",130010,2010,"Jan",0,1,109,0
"521"," Novo Airo",130320,2010,"Jan",1,1,109,1
"522"," Acar",150020,2010,"Jan",0,1,109,0
"523"," Anori",130010,2010,"Mar",1,3,111,1
"524"," Novo Airo",130320,2010,"Mar",0,3,111,0
"525"," Acar",150020,2010,"Mar",0,3,111,0
"526"," Anori",130010,2010,"Ago",0,8,116,0
"527"," Novo Airo",130320,2010,"Ago",0,8,116,0
"528"," Acar",150020,2010,"Ago",1,8,116,1
