location_id,year_id,GBD_mean,JRF_admin,bias_term
AND,1998,0.92189401,0.89,1.035835966
AND,1999,0.93256575,0.9,1.036184167
AND,2000,0.94239938,0.98,0.96163202
AND,2001,0.94908673,0.96,0.98863201
AND,2002,0.95472085,0.97,0.984248299
AND,2003,0.95933419,0.99,0.969024434
AND,2004,0.96242076,0.99,0.972142182
AND,2005,0.96452075,0.98,0.984204847
AND,2006,0.96636236,0.93,1.039099312
AND,2007,0.9687314,0.96,1.009095208
AND,2008,0.9711296,0.99,0.98093899
AND,2009,0.97292382,0.99,0.982751333
AND,2010,0.97425938,0.99,0.984100384
AND,2011,0.97523838,0.99,0.985089273
AND,2012,0.97593343,0.99,0.985791343
AND,2013,0.97634846,0.96,1.017029646
AND,2014,0.97706854,0.97,1.007287155
AND,2015,0.97798514,0.97,1.008232103
ARE,1980,0.61226696,0.11,5.566063273
ARE,1981,0.63708723,0.45,1.4157494
ARE,1982,0.66089493,0.43,1.536964953
ARE,1983,0.68402946,0.5,1.36805892
ARE,1984,0.70590997,0.59,1.196457576
ARE,1985,0.72567844,0.58,1.251169724
ARE,1986,0.74262422,0.65,1.1424988
ARE,1987,0.75854462,0.63,1.204039079
ARE,1988,0.77365571,0.73,1.059802342
ARE,1989,0.78804255,0.89,0.885441067
ARE,1990,0.799685,NA,NA
ARE,1991,0.81561571,0.85,0.959547894
ARE,1992,0.83081478,0.86,0.966063698
ARE,1993,0.84547907,0.9,0.939421189
ARE,1994,0.85924286,0.9,0.954714289
ARE,1995,0.87436163,0.9,0.971512922
ARE,1996,0.88691789,0.9,0.985464322
ARE,1997,0.89851105,0.92,0.976642446
ARE,1998,0.90762043,0.94,0.965553649
ARE,1999,0.91432345,0.94,0.972684521
ARE,2000,0.92032021,0.94,0.979064053
ARE,2001,0.92657471,0.94,0.985717777
ARE,2002,0.93240887,0.94,0.99192433
ARE,2003,0.93793446,0.94,0.997802617
ARE,2004,0.94308549,0.94,1.003282436
ARE,2005,0.94773626,0.94,1.008230064
ARE,2006,0.95249349,0.92,1.035319011
ARE,2007,0.95699191,0.92,1.040208598
ARE,2008,0.96129447,0.92,1.044885293
ARE,2009,0.96547896,NA,NA
ARE,2010,0.96915448,0.94,1.031015404
ARE,2011,0.97261012,NA,NA
ARE,2012,0.97569311,0.99,0.985548596
ARE,2013,0.97799957,0.99,0.987878354
ARE,2014,0.97970665,0.99,0.989602677
