muni,muni.no,mother,emancipationYear
150475 Mojuê dos Campos,150475,150680,2013
220095 Aroeiras do Itaim,220095,221100,2013
220672 Nazöria,220672,420460,2013
421265 Pescaria Brava,421265,420940,2009
422000 Balneörio Rinco,422000,430210,2013
500390 Figueiro,500390,500325,2013
500627 Paraêso das guas,500627,500295,2009
510452 Ipiranga do Norte,510452,510800,2000
510454 Itanhangö,510454,510800,2000
431454 Pinto Bandeira,431454,430210,20012012
